Fechas;Total;Hc;Hp;H
02-03-2020;5;2;0;3
03-03-2020;6;2;0;4
04-03-2020;5;2;0;3
05-03-2020;6;2;0;4
06-03-2020;7;2;0;5
07-03-2020;8;3;0;5
08-03-2020;10;4;0;6
09-03-2020;9;3;0;6
10-03-2020;11;4;0;7
11-03-2020;13;7;0;6
12-03-2020;18;7;0;11
13-03-2020;22;9;0;13
14-03-2020;23;9;0;14
15-03-2020;27;10;0;17
16-03-2020;38;13;0;25
17-03-2020;42;12;1;29
18-03-2020;59;16;1;42
19-03-2020;60;18;0;42
20-03-2020;87;29;1;57
21-03-2020;120;33;2;85
22-03-2020;158;40;3;115
23-03-2020;187;50;4;133
24-03-2020;230;61;4;165
25-03-2020;282;77;4;201
26-03-2020;334;99;3;232
27-03-2020;398;122;5;271
28-03-2020;480;142;9;329
29-03-2020;544;165;9;370
30-03-2020;612;189;11;412
31-03-2020;664;221;12;431
01-04-2020;717;246;14;457
02-04-2020;787;279;16;492
03-04-2020;833;300;18;515
04-04-2020;864;321;24;519
05-04-2020;894;336;26;532
06-04-2020;906;348;24;534
07-04-2020;924;359;19;546
08-04-2020;907;356;17;534
