Región/Fecha;20-Mar;21-Mar;22-Mar;23-Mar;24-Mar;25-Mar;26-Mar;27-Mar;28-Mar;29-Mar;30-Mar;31-Mar;01-Apr;02-Apr;03-Apr;04-Apr;05-Apr;06-Apr;07-Apr;08-Apr;09-Apr;10-Apr;11-Apr;12-Apr;13-Apr;14-Apr;15-Apr;16-Apr;17-Apr;18-Apr;19-Apr;20-Apr;21-Apr;22-Apr
Arica y Parinacota;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;2;2;2;2;2;2
Tarapacá;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Antofagasta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2
Atacama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Coquimbo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Valparaíso;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;4;4;4;5;5;6;7;7
Región Metropolitana;1;1;2;2;2;2;3;3;3;3;4;5;5;8;9;10;10;12;14;21;29;32;35;36;40;41;48;51;58;63;67;69;78;85
O’Higgins;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
Maule;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;2;2;2;3;3;3;4;4;4;7;8;8;10;10;10;10
Ñuble;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;4;5;5;6;6;6;7;7;8;8;10;11;12;13;13;13;13;13
Biobío;0;0;0;0;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;4;5;5
Araucanía;0;0;0;0;0;0;0;1;2;2;4;6;6;7;9;13;14;14;15;16;16;17;17;17;20;21;21;22;23;23;23;25;26;26
Los Ríos;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
Los Lagos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;2;2;5;5;5;5;5;5;6;6;6;6;6;6;7
Aysén;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Magallanes;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;2;3;3;3;3;4;5;6;6;6;6;6;6;6;7;7;7
Total Fallecidos;1;1;2;2;3;4;5;6;7;8;12;16;16;22;27;34;37;43;48;57;65;73;80;82;92;94;105;116;126;133;139;147;160;168
